country,feature,wave,verdict,checks_run,evidence,adjudicated_by,date
GhanaLSS,food_security,1987-88,unsure,C1-notrun;C2;C4-notrun,"C1 could not run: GLSS1 ships fixed-format .DAT with .DCT dictionaries that carry variable NAMES only (no variable labels, no value labels) -- 77/93 dictionaries swept, none food-adequacy shaped. C4 could not run: 1987-88/Documentation/questionnaire/GHA_1987_GLSS_Questionnaire_EN.pdf is 78 CCITT-fax page scans with ZERO embedded font objects (pdfminer extracts 0 non-whitespace chars), and no OCR is available here, so the form cannot be searched for a stray food-adequacy item. What IS established: the joint LSMS Basic Information Document 1987-88/Documentation/technical document/GHA_1987_GLSS_Basicinfo_EN.pdf (covers both rounds, full text layer) enumerates every module of the household questionnaire in 2.1 -- sections 0,1A-C,2A-B,3I-II,4,5A-H,6,7,8,9A-K,10A-D,11A-D,12A-B,13A-B,14A-B,15A-C,16A-B,17A-C -- and names no food-security or food-adequacy module; section 12 is 'FOOD EXPENSES AND HOME PRODUCTION' (item-code loops, Y12A/Y12B). Not closed: a single item inside a section cannot be excluded without reading or OCRing the 78-page scan.",sue,2026-08-20
GhanaLSS,food_security,1988-89,unsure,C1-notrun;C2;C4-notrun,"C1 could not run: GLSS2 ships fixed-format .DAT with .DCT dictionaries that carry variable NAMES only (no variable labels, no value labels) -- 77/93 dictionaries swept, none food-adequacy shaped. C4 could not run: 1988-89/Documentation/questionnaire/GHA_1988_GLSS_Household_Questionnaire_EN.pdf is 78 CCITT-fax page scans with ZERO embedded font objects (pdfminer extracts 0 non-whitespace chars), and no OCR is available here, so the form cannot be searched for a stray food-adequacy item. What IS established: the joint LSMS Basic Information Document 1987-88/Documentation/technical document/GHA_1987_GLSS_Basicinfo_EN.pdf (covers both rounds, full text layer) enumerates every module of the household questionnaire in 2.1 -- sections 0,1A-C,2A-B,3I-II,4,5A-H,6,7,8,9A-K,10A-D,11A-D,12A-B,13A-B,14A-B,15A-C,16A-B,17A-C -- and names no food-security or food-adequacy module; section 12 is 'FOOD EXPENSES AND HOME PRODUCTION' (item-code loops, Y12A/Y12B). Not closed: a single item inside a section cannot be excluded without reading or OCRing the 78-page scan.",sue,2026-08-20
GhanaLSS,food_security,1991-92,not-asked,C1-partial;C2;C4,"C4 ran on the full household instrument, which has a text layer: 1991-92/Documentation/pdf/G3QPartA.pdf (38pp) + G3QPartB.pdf (44pp). Sections 1-12 (Household Roster / Education / Health / Employment and Time Use / Migration / Identification of Respondents / Housing / Agriculture / Household Expenditure / Non-Farm Enterprises / Income Transfers / Credit, Assets and Savings) contain no food-adequacy or experience-of-hunger item; a regex for 'was there a time|hungr|enough food|skipped meal|ate less|whole day|ran out of food|meals a day' over the extracted text returns 0 hits. The topically nearest module is Section 9 Part C 'AVAILABILITY OF SELECTED CONSUMER ITEMS' (S9C.DTA: availcd + 'found items available when you tried to purchase them' + 'how does availability compare with the preceding year') -- a market-supply question about 14-15 consumer items, not a household food-experience question, and it maps to none of the 8 FIES items. C1: names-only -- GLSS3 .DTA section files carry 0 variable labels and 0 value label sets, so the label sweep of all 155 shipped files could not run on the section files; the column names (S9C.DTA: clust nh availcd s9cq1 s9cq2) match the later waves' availability module exactly. C2: the FIES battery first appears in GLSS7 (g7sec9c.dta s9cq1-s9cq8, s9cq6 = 'During the last 12 months, was there a time when your household ran out of food'); the same C1 regex finds it there, so the null here is a real null, not a broken search. C3 inapplicable: GLSS is not LSMS-ISA (Ghana's ISA series is GhanaSPS).",sue,2026-08-20
GhanaLSS,food_security,1998-99,not-asked,C1;C2;C4,"C4 ran on the full household instrument, which has a text layer: 1998-99/Documentation/questionnaire/GHA_1998_GLSS_Household_Questionnaire_EN.pdf (118pp). Sections 1-12 (Household Roster / Education / Health / Employment and Time Use / Migration / Identification of Respondents / Housing / Agriculture / Household Expenditure / Non-Farm Enterprises / Income Transfers / Credit, Assets and Savings) contain no food-adequacy or experience-of-hunger item; a regex for 'was there a time|hungr|enough food|skipped meal|ate less|whole day|ran out of food|meals a day' over the extracted text returns 0 hits. The topically nearest module is Section 9 Part C 'AVAILABILITY OF SELECTED CONSUMER ITEMS' (SEC9C.DTA (availcd 'Consumer item code', s9cq1 'Tried to purchase item', s9cq2 'Shortages compared'): availcd + 'found items available when you tried to purchase them' + 'how does availability compare with the preceding year') -- a market-supply question about 14-15 consumer items, not a household food-experience question, and it maps to none of the 8 FIES items. C1: ran -- all 156 shipped files swept, section files carry variable labels; 0 food-adequacy variables. C2: the FIES battery first appears in GLSS7 (g7sec9c.dta s9cq1-s9cq8, s9cq6 = 'During the last 12 months, was there a time when your household ran out of food'); the same C1 regex finds it there, so the null here is a real null, not a broken search. C3 inapplicable: GLSS is not LSMS-ISA (Ghana's ISA series is GhanaSPS).",sue,2026-08-20
GhanaLSS,food_security,2005-06,not-asked,C1;C2;C4,"C4 ran on the full household instrument, which has a text layer: 2005-06/Documentation/G5QPartA.pdf (52pp) + G5QPartB.pdf (59pp), plus G5Q10.pdf (24pp, ""SECTION 10: NON-FARM HOUSEHOLD ENTERPRISE QUESTIONNAIRE"") which is the one GLSS5 module fielded on a separate form and which ships NO data files in this wave -- searched separately, 0 hits. Sections 1-12 (Household Roster / Education / Health / Employment and Time Use / Migration / Identification of Respondents / Housing / Agriculture / Household Expenditure / Non-Farm Enterprises / Income Transfers / Credit, Assets and Savings) contain no food-adequacy or experience-of-hunger item; a regex for 'was there a time|hungr|enough food|skipped meal|ate less|whole day|ran out of food|meals a day' over the extracted text returns 0 hits. The topically nearest module is Section 9 Part C 'AVAILABILITY OF SELECTED CONSUMER ITEMS' (partb/sec9c.dta: availcd + 'found items available when you tried to purchase them' + 'how does availability compare with the preceding year') -- a market-supply question about 14-15 consumer items, not a household food-experience question, and it maps to none of the 8 FIES items. C1: ran -- all 49 shipped files swept, every one fully labelled (labelled_cols == cols); 0 food-adequacy variables. C2: the FIES battery first appears in GLSS7 (g7sec9c.dta s9cq1-s9cq8, s9cq6 = 'During the last 12 months, was there a time when your household ran out of food'); the same C1 regex finds it there, so the null here is a real null, not a broken search. C3 inapplicable: GLSS is not LSMS-ISA (Ghana's ISA series is GhanaSPS).",sue,2026-08-20
GhanaLSS,food_security,2012-13,not-asked,C1;C2;C4,"C4 ran on the full household instrument, which has a text layer: 2012-13/Documentation/QUESTIONNAIRES/GLSS6 Part A Questionnaire.pdf (66pp) + GLSS6 Part B Questionnaire.pdf (70pp), plus the two separately-fielded modules 'GLSS6 Section 10 Questionnaire.pdf' (22pp, non-farm enterprise) and 'GPS Module 13 Questionnaire.pdf' (16pp, 'SECTION 13 GOVERNANCE, PEACE AND SECURITY') -- all four searched, 0 hits. Sections 1-12 (Household Roster / Education / Health / Employment and Time Use / Migration / Identification of Respondents / Housing / Agriculture / Household Expenditure / Non-Farm Enterprises / Income Transfers / Credit, Assets and Savings) contain no food-adequacy or experience-of-hunger item; a regex for 'was there a time|hungr|enough food|skipped meal|ate less|whole day|ran out of food|meals a day' over the extracted text returns 0 hits. The topically nearest module is Section 9 Part C 'AVAILABILITY OF SELECTED CONSUMER ITEMS' (PARTB/sec9c.dta: availcd + 'found items available when you tried to purchase them' + 'how does availability compare with the preceding year') -- a market-supply question about 14-15 consumer items, not a household food-experience question, and it maps to none of the 8 FIES items. C1: ran -- all 127 shipped files swept and fully labelled, including SECTION_10/* (non-farm enterprise) and GOVERNANCE/gps-sec13a..g; 0 food-adequacy variables. C2: the FIES battery first appears in GLSS7 (g7sec9c.dta s9cq1-s9cq8, s9cq6 = 'During the last 12 months, was there a time when your household ran out of food'); the same C1 regex finds it there, so the null here is a real null, not a broken search. C3 inapplicable: GLSS is not LSMS-ISA (Ghana's ISA series is GhanaSPS).",sue,2026-08-20
GhanaLSS,housing,1987-88,todo,C1-partial;C2;C4,"Data IS present -- three files, not the one data_scheme.yml names. 1987-88/Data/Y08.DAT (Section 8 'Characteristics of housing'): AREA HOWM WALLS FLOOR ROOF WINDOW. 1987-88/Data/Y02A.DAT (Section 2A 'Type of dwelling'): DOMICILE COMPOUND NBLDG APT ROOMS YRSRES. 1987-88/Data/Y02B.DAT (Section 2B 'Housing expenses'): OWNHH RENTED (tenure), DWATER (drinking water), TOILET, LIGHT + ELECM (electricity), FUEL, GARBAGE. Between them they cover every column the housing schema declares (Roof Floor Walls Water Toilet Rooms Tenure Electricity). C4: GHA_1987_GLSS_Basicinfo_EN.pdf 2.1 (joint BID for both rounds) -- 'Section 8 notes the construction material of the household's dwelling's walls, flooring, roof and windows, and the floor area in square meters' and 'Section 2A contains the type of dwelling and years at current residence. Household expenses, including rent and utilities, source of water, cooking fuel and light, and type of toilet are in Section 2B.' The blocker is DECODING (the .DCT carries no value labels and the questionnaire scan has no text layer), not absence -- so this is config work plus a codebook, not a gap.",sue,2026-08-20
GhanaLSS,housing,1988-89,todo,C1-partial;C2;C4,"Data IS present -- three files, not the one data_scheme.yml names. 1988-89/Data/Y08.DAT (Section 8 'Characteristics of housing'): AREA HOWM WALLS FLOOR ROOF WINDOW. 1988-89/Data/Y02A.DAT (Section 2A 'Type of dwelling'): DOMICILE COMPOUND NBLDG APT ROOMS YRSRES. 1988-89/Data/Y02B.DAT (Section 2B 'Housing expenses'): OWNHH RENTED (tenure), DWATER (drinking water), TOILET, LIGHT + ELECM (electricity), FUEL, GARBAGE. Between them they cover every column the housing schema declares (Roof Floor Walls Water Toilet Rooms Tenure Electricity). C4: GHA_1987_GLSS_Basicinfo_EN.pdf 2.1 (joint BID for both rounds) -- 'Section 8 notes the construction material of the household's dwelling's walls, flooring, roof and windows, and the floor area in square meters' and 'Section 2A contains the type of dwelling and years at current residence. Household expenses, including rent and utilities, source of water, cooking fuel and light, and type of toilet are in Section 2B.' The blocker is DECODING (the .DCT carries no value labels and the questionnaire scan has no text layer), not absence -- so this is config work plus a codebook, not a gap.",sue,2026-08-20
GhanaLSS,plot_features,1987-88,not-asked,C1;C2;C4,"C4 ran VISUALLY on the scanned form (CCITT-fax pages rendered to PNG): 1987-88/Documentation/questionnaire/GHA_1987_GLSS_Questionnaire_EN.pdf p.42-43 = printed pages 30-31, form blocks '9A1'/'9A2', 'SECTION 9. AGRO-PASTORAL ACTIVITIES / PART A. LAND'. Questions 1-29 are all single-answer household totals -- Q3 'How many acres of the land belonging to your household have been farmed during the past 12 months' (one ACRES box), Q4 fallow, Q5 government scheme, Q6 irrigated, Q8 registered, Q7 'Do you or the members of your household have the right to sell all or part of their land' (one code box), Q10-14 sales/gifts, Q15-18 rented/sharecropped out, Q19-26 acquisitions + title, Q27-29 sharecropped in, then '>> PART B'. There is NO farm-number column and no repeated per-farm row anywhere in Part A, and a page-header sweep across pp.25-63 shows Section 9's parts to be A(Land) B(Crops) D(Farm inputs) F(Livestock) J(Hand tools) -- no farm/plot roster part. C1: 1987-88/Data/Y09A.DAT is strictly household-grain (2,644 rows, 2,644 unique HID, max 1 row per HID); none of Y09B..Y09K carries a farm or plot key (they are keyed by crop code, input code, livestock code or tool). C2: the GLSS3+ per-plot roster (S8B.DTA / sec8b.dta / g7sec8b.dta, one row per household-farm with a farm number, area, unit and tenure) has no GLSS1/GLSS2 counterpart. C3 inapplicable: GLSS is not LSMS-ISA.",sue,2026-08-20
GhanaLSS,plot_features,1988-89,not-asked,C1;C2;C4,"C4 ran VISUALLY on the scanned form (CCITT-fax pages rendered to PNG): 1988-89/Documentation/questionnaire/GHA_1988_GLSS_Household_Questionnaire_EN.pdf p.42-43 = printed pages 30-31, form blocks '9A1'/'9A2', 'SECTION 9. AGRO-PASTORAL ACTIVITIES / PART A. LAND'. Questions 1-29 are all single-answer household totals -- Q3 'How many acres of the land belonging to your household have been farmed during the past 12 months' (one ACRES box), Q4 fallow, Q5 government scheme, Q6 irrigated, Q8 registered, Q7 'Do you or the members of your household have the right to sell all or part of their land' (one code box), Q10-14 sales/gifts, Q15-18 rented/sharecropped out, Q19-26 acquisitions + title, Q27-29 sharecropped in, then '>> PART B'. There is NO farm-number column and no repeated per-farm row anywhere in Part A, and a page-header sweep across pp.36-62 shows Section 9's parts to be A(Land) B(Crops) D(Farm inputs) F(Livestock) J(Hand tools) -- no farm/plot roster part. C1: 1988-89/Data/Y09A.DAT is strictly household-grain (2,938 rows, 2,938 unique HID, max 1 row per HID); none of Y09B..Y09K carries a farm or plot key (they are keyed by crop code, input code, livestock code or tool). C2: the GLSS3+ per-plot roster (S8B.DTA / sec8b.dta / g7sec8b.dta, one row per household-farm with a farm number, area, unit and tenure) has no GLSS1/GLSS2 counterpart. C3 inapplicable: GLSS is not LSMS-ISA.",sue,2026-08-20
