country,id,table,wave,symptom,count,evidence,proposed_fix,status,gh_issue,pattern,proposed_title,n_countries,n_problems,leverage_rank,pattern_note
Ethiopia,D10,cluster_features,all,Region casing/spelling not harmonised across waves (21 strings for 11 regions),21 -> 11,per-wave values are internally consistent,add Region to categorical_mapping.org,reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Ethiopia,D4,all three price tables,all,"u='Other (Specify)' names no quantity, and the spelling differs across tables","dropped 1,944 + 77 + 654 rows from sources 1/4/5",analysis.py:JUNK_UNITS,canonicalise the spacing in the u table,fixed-in-analysis,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Ethiopia,D8,crop_production,all,mojibake unit labels fragment the u axis,"550 of 85,519 rows; 0 of the 3,721 usable sold rows","ethiopia.py:_clean_unit_label strips U+FFFD, not the double-encoded form",add the double-encoded sequence to the strip,reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
GhanaLSS,D3,food_acquired,"1991-92,1998-99,2005-06,2012-13","u is NOT on the _/unit_labels.org Preferred-Label axis: a REGRESSION, the map was applied at c345d317 and dropped by 6de0ce37","473,660 produced rows",git show c345d317:...food_acquired.py line 52,apply the unit_labels.org map in each of the four wave scripts,fixed-in-worktree 359e52af,832,P08-unit-vocab,"GhanaLSS: the unit_labels.org canonicalisation of food_acquired.u was dropped by 6de0ce37 in 4 of 7 waves (473,660 rows)",7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
GhanaLSS,D4,_/unit_labels.org,all,'Margarin tin' and 'margarin tin' carry two different Preferred Labels,2 rows,"CONTENTS.org s.'j, u and the shared axes'",pick one Preferred Label,reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Malawi,D4,food_acquired,all five,u carries 640 distinct labels: Kg/kg/Kgs/Kilogram/Kkilogram for one unit; 'No.12 Plate' vs 'No 12 Plate' are two spellings INSIDE the shared u table,"2004-05 alone: 35,805 Kg rows",_/categorical_mapping.org u codes 07 vs 07a/07b,"a mapping, not a rename",reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Mali,M7,food_acquired,"2018-19,2021-22 vs 2014-15",the unit label Boite is spelled Boite in two waves and Boite (circumflex) in one,"5,682 vs 7,799 + 5,854 rows",analysis.py PRE-CHECK (i),a spellings entry,reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Niger,D1,_/categorical_mapping.org (u),all,"Tia and Tiya carried TWO Preferred Labels for one unit, so no price per bowl could ever be matched across tables","18,759 food_acquired + 4,167 crop rows (2018-19); 825 + 3,196 (2011-12)",six instrument label sets each carry exactly ONE tia-like entry,both Original Labels -> Tiya,fixed-in-worktree 4732a5eb,832,P08-unit-vocab,"Niger u table: Tia and Tiya are one unit under two Preferred Labels, so the bowl price never matched across tables (26,000+ rows)",7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Tanzania,D3,food_acquired vs community_prices,"2019-20,2020-21","the same unit is spelled 'piece' on one table and 'Piece' on the other, so a native-unit join silently drops every Piece comparison","288 + 310 source-1 rows; 442 + 2,423 source-5 rows",categorical_mapping.org u table + its own comment forbidding the fix,a cross-table fold at framework level,reported,unfiled,P08-unit-vocab,,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
Uganda,D6,uganda.py:400,2011-20,unknown unit codes dropped with a warning that does not say how many,at worst 0.22% of a wave's rows (836 in 2019-20),analysis.py::unknown_unit_cost,print the count in the warning,"reported, no action",unfiled,P08-unit-vocab,uganda.py:400 'Dropping some unknown unit codes!' should say how many,7,10,1,"one unit under two labels, or one label under two spellings, fragmenting the u axis across tables"
GhanaLSS,D1,community_prices,2016-17,"GLSS7 per-observation QTY holds the container's CONTENT WEIGHT IN GRAMS, not a count; Price/NumberOfUnits is ~1/1000 of the true per-unit price","5,351 of 220,908 rows (2.4%)","Millet/Bowl clusters 70735/70789/70791: Price=4.00, NumberOfUnits=4000","read Price as per-unit where u is a container unit, or add a NumberOfUnits_basis flag",reported; screened out of the analysis,826,P02-price-basis,,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
GhanaLSS,D2,community_prices + food_acquired,2016-17,"metric-prefix miscoding on BOTH instruments (Liter recorded for ml, Gram for a piece)",37.0% of the 516 matched 1v5 cells have abs(gap) > log 1.5,Beer/Liter/Eastern: 0.0080 vs 15.15 GHS/L,"enumerator error; a per-(j,u) plausibility screen is the analysis-side answer",reported,826,P02-price-basis,,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
GhanaLSS,D6,community_prices,2012-13,NumberOfUnits null for the entire non-food block (u='Other Unit'),"98,341 of 288,243 rows (34.1%)",by design; foods unaffected,none needed for foods,reported,unfiled,P02-price-basis,,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
Malawi,D3,community_prices,all three,"u and NumberOfUnits jointly missing, so no per-unit price is computable","38,506 / 82,635 rows (u); 6,338 of the 31,959 FOOD rows",Country('Malawi').community_prices(),drop and count,reported,827,P02-price-basis,,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
Niger,D5,community_prices,"2011-12,2014-15","CS07 Quantity ('poids') is sometimes a gram weight entered against a container unit code, so Price/Quantity collapses","111 of 15,423 rows (0.72%)","Price=600, Quantity=2687, u=Tiya at v=64 is 0.22 FCFA per bowl",drop container-unit rows with Quantity > 100 at build time,reported,unfiled,P02-price-basis,"Niger community_prices: CS07 `poids` is sometimes a gram weight against a container unit code, so Price/Quantity collapses (111 rows) -- the Niger half of #826's shape",5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
Nigeria,N-02,community_prices,"2016Q1,2019Q1,2024Q1",the C8 SIZE field is recorded by the survey and never read: the size axis is discarded AND metric rows are not per-unit prices,"only 15 of 81 food_acquired u labels intersect the 30 in community_prices; on 1,171 matched cells the ratio is 1.000 on Kg (596) and l (124) but 1/189 on g (130) and 1/42 on cl (125)","c8q2b (W3 free text), c8q2c (W4 coded), c8aq2_a/_c/_cvn (W5)",read the size column and divide Price by the coded metric quantity,reported,834,P02-price-basis,Nigeria community_prices never reads the C8 SIZE field: g and cl rows are package prices (1/189 and 1/42 of the household unit value) and the size axis is lost,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
Tanzania,D7,community_prices,"2019-20,2020-21",prices that cannot be right per kg-equivalent (min 0.0003 TZS/kg) from a mis-keyed cm_f062 quantity basis,"87 of 12,966 kg-equivalent rows (0.67%)",analysis.implausible_community_prices(),a plausibility clamp at build time,reported,unfiled,P02-price-basis,,5,7,2,"the community price's quantity/size basis is unread or mis-typed, so Price/NumberOfUnits is not a per-unit price"
Ethiopia,D5,crop_production vs others,all,"a shared u label covers different physical quantities on the two sides, producing negative marketing margins",Leafy Greens ratio 0.40; Banana 0.045,by_item.csv,per-item unit audit,reported,833,P09-label-fold,"A shared u label spans two physical quantities across tables (Ethiopia Leafy Greens 0.40x, Banana 0.045x): negative 'margins' are unit mismatches",5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Malawi,D2,crop_production,all four,"shelled/unshelled (ag_i02c, ag_g13c) unread; `condition` is a parameter _harvest_block accepts and never references",--,malawi.py:915,needs a condition level on the grain,reported,833,P09-label-fold,Malawi crop_production drops the shelled/unshelled state (ag_i02c/ag_g13c): rice 2.9-3.1x and groundnut 5.0x 'margins' are milling and shelling,5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Malawi,D7,crop_production / community_prices,--,crop labels do not join the food axis the data_scheme claims they do,17 of 41 crop labels unjoined,data_scheme.yml claims they 'JOIN food_acquired.j',crosswalk,reported,unfiled,P09-label-fold,,5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
